dataset,position,variable,storage_type,group,description,missing_count,nonmissing_count
county_spine_clean,1,fips,character,identifier,Five-character county FIPS code,0,3225
county_spine_clean,2,county_name,character,identifier,County or county-equivalent name and state abbreviation,0,3225
county_spine_clean,3,peak_year_2008,numeric,great_recession_outcome,Year of the pre-crisis employment peak,7,3218
county_spine_clean,4,peak_employment_2008,numeric,great_recession_outcome,Employment at the pre-crisis peak,7,3218
county_spine_clean,5,trough_year_2008,numeric,great_recession_outcome,Year of the post-peak employment trough,7,3218
county_spine_clean,6,trough_employment_2008,numeric,great_recession_outcome,Employment at the post-peak trough,7,3218
county_spine_clean,7,recovery_employment_2008,numeric,great_recession_outcome,Mean employment two and three years after the trough,10,3215
county_spine_clean,8,n_recovery_years_2008,numeric,great_recession_outcome,Number of post-trough years used in recovery employment,10,3215
county_spine_clean,9,recovery_ratio_2008,numeric,great_recession_outcome,Recovery employment divided by peak employment,10,3215
county_spine_clean,10,flag_tiny_base_2008,logical,great_recession_outcome,"Peak employment was below 1,000",7,3218
county_spine_clean,11,flag_implausible_2008,logical,great_recession_outcome,Recovery ratio was below 0.3 or above 2.5,7,3218
county_spine_clean,12,never_recovered_2008,logical,great_recession_outcome,Employment never exceeded its pre-crisis peak through 2025,7,3218
county_spine_clean,13,poverty_rate_2007,numeric,great_recession_baseline,Population below poverty line (percent),96,3129
county_spine_clean,14,median_hh_income_2007,numeric,great_recession_baseline,Median household income (US dollars),96,3129
county_spine_clean,15,total_population_2007,numeric,great_recession_baseline,Resident population,94,3131
county_spine_clean,16,rucc_2003_2007,numeric,great_recession_baseline,USDA rural-urban continuum code,96,3129
county_spine_clean,17,population_density_2007,numeric,great_recession_baseline,Residents per square mile,95,3130
county_spine_clean,18,proprietor_share_2007,numeric,great_recession_baseline,Proprietor employment as a proportion of employment,146,3079
county_spine_clean,19,net_migration_rate_2007,numeric,great_recession_baseline,"Net migration per 1,000 residents",99,3126
county_spine_clean,20,pct_hs_plus_2007,numeric,great_recession_baseline,Adults with high school education or higher (percent),2445,780
