mtry,nodesize,train_rmse,val_rmse,geography,crisis
6,1,0.03875885970654217,0.10397576963402948,County,Great Recession
6,5,0.04499101006823023,0.1033564361313631,County,Great Recession
6,10,0.05257954577958856,0.10393573131409156,County,Great Recession
11,1,0.03833676559255333,0.10384971913892949,County,Great Recession
11,5,0.04326439838155033,0.1037992821835938,County,Great Recession
11,10,0.05043817988681226,0.1038490799595572,County,Great Recession
16,1,0.03834053943046727,0.10390978798538825,County,Great Recession
16,5,0.04353653557644307,0.10359489194260181,County,Great Recession
16,10,0.049862124584888375,0.1036663579852261,County,Great Recession
6,1,0.020124563792637096,0.054155083555052906,County,COVID-19
6,5,0.023270674111352557,0.054064106891454716,County,COVID-19
6,10,0.027363437643477283,0.05442335876813877,County,COVID-19
11,1,0.02012892582755375,0.054641950287615176,County,COVID-19
11,5,0.02245231018507489,0.05428953071189212,County,COVID-19
11,10,0.025917943280978704,0.05403289206209557,County,COVID-19
16,1,0.020274918610787104,0.05456534010996762,County,COVID-19
16,5,0.022776227544254606,0.05453565184696424,County,COVID-19
16,10,0.025880578063700498,0.054869953724258645,County,COVID-19
