mtry,nodesize,train_rmse,val_rmse,geography,crisis
6,1,0.0082221906494094,0.022105373553111308,State,Great Recession
6,5,0.00922975569919247,0.02172557559221885,State,Great Recession
6,10,0.01118934842901693,0.021938137670450157,State,Great Recession
10,1,0.007828608082553055,0.022337811889832998,State,Great Recession
10,5,0.008910635433171193,0.02224291361288939,State,Great Recession
10,10,0.010722669214222812,0.022313776449526746,State,Great Recession
16,1,0.008372717947572349,0.022269342097235873,State,Great Recession
16,5,0.009009071752798742,0.022274493751620172,State,Great Recession
16,10,0.010599368274984325,0.022475403782931603,State,Great Recession
6,1,0.008683263526272841,0.02352539271423178,State,COVID-19
6,5,0.009170235249650795,0.0229312451194634,State,COVID-19
6,10,0.01169605724062186,0.022586415915286668,State,COVID-19
10,1,0.008107287137002435,0.022308324817973506,State,COVID-19
10,5,0.008743725771754082,0.02181469008244008,State,COVID-19
10,10,0.01130971899370112,0.022363497040916,State,COVID-19
16,1,0.007680190453121662,0.021621220684730186,State,COVID-19
16,5,0.009377346795932277,0.02277698050493295,State,COVID-19
16,10,0.010598557137382834,0.021937630077503083,State,COVID-19
