mtry,nodesize,train_rmse,val_rmse,geography,crisis
7,1,0.038130323548334365,0.10310726265836692,County,Great Recession
7,5,0.044526450059934004,0.10280722214144031,County,Great Recession
7,10,0.051780903976697074,0.10344179063942084,County,Great Recession
16,1,0.03791913496744784,0.10362022294065253,County,Great Recession
16,5,0.0434501076254672,0.10368486139420618,County,Great Recession
16,10,0.050027166303219725,0.10333536611825236,County,Great Recession
24,1,0.03789391033422127,0.1029324820165431,County,Great Recession
24,5,0.043236713448775284,0.10323257847853197,County,Great Recession
24,10,0.049256188384098905,0.10339082442367044,County,Great Recession
7,1,0.019921364071796798,0.05352520158894087,County,COVID-19
7,5,0.023198762174206123,0.05354915398300461,County,COVID-19
7,10,0.02633881173062276,0.05364234342996218,County,COVID-19
16,1,0.019789959811095808,0.05418133682458511,County,COVID-19
16,5,0.02220403845910519,0.05343139507929098,County,COVID-19
16,10,0.025255113292002872,0.054199812532651936,County,COVID-19
24,1,0.020115298979009245,0.05331398836255804,County,COVID-19
24,5,0.022128240044044154,0.053846804948946725,County,COVID-19
24,10,0.02484288042847759,0.05355334971602586,County,COVID-19
