mtry,nodesize,oob_mse,geography,crisis
3,1,5.533862430432753e-4,State,Great Recession
3,5,5.613767266319919e-4,State,Great Recession
3,10,5.646553410133472e-4,State,Great Recession
4,1,5.636112529684691e-4,State,Great Recession
4,5,5.825894549175002e-4,State,Great Recession
4,10,5.514507070411117e-4,State,Great Recession
3,1,5.542740644193979e-4,State,COVID-19
3,5,5.380629294909305e-4,State,COVID-19
3,10,5.343095785080134e-4,State,COVID-19
4,1,5.488196160917187e-4,State,COVID-19
4,5,5.522015760957979e-4,State,COVID-19
4,10,5.428208383344412e-4,State,COVID-19
